topic	file	result	exit	time_ms	message
buffer	external/node-tests/test/parallel/test-buffer-isutf8.js	fail	1	9161	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-isutf8.js:73: SyntaxError: expected expression, got ')' | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: mutating the [[Proto
buffer	external/node-tests/test/parallel/test-buffer-iterator.js	pass	0	391	
buffer	external/node-tests/test/parallel/test-buffer-new.js	fail	1	390	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-no-negative-allocation.js	fail	1	389	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-nopendingdep-map.js	pass	0	393	
buffer	external/node-tests/test/parallel/test-buffer-of-no-deprecation.js	fail	1	385	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-of-no-deprecation.js:7: TypeError: Buffer.of is not a function
buffer	external/node-tests/test/parallel/test-buffer-over-max-length.js	pass	0	384	
buffer	external/node-tests/test/parallel/test-buffer-parent-property.js	fail	1	383	:0: AssertionError: assert failed
buffer	external/node-tests/test/parallel/test-buffer-pending-deprecation.js	fail	1	384	mustCall: expected 1 calls, got 0
buffer	external/node-tests/test/parallel/test-buffer-pool-untransferable.js	fail	1	387	:0: AssertionError: [object ArrayBuffer] !== [object ArrayBuffer]
buffer	external/node-tests/test/parallel/test-buffer-prototype-inspect.js	fail	1	391	:0: AssertionError: Uint8Array(9) [ 102, 104, 113, 119, 104, 103, 97, 100, 115 ] !== <Buffer 66 68 71 77 68 67 61 64 73>
buffer	external/node-tests/test/parallel/test-buffer-read.js	fail	1	390	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-read.js:9: TypeError: buff[funx] is not a function
buffer	external/node-tests/test/parallel/test-buffer-readdouble.js	fail	1	388	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-readdouble.js:17: TypeError: buffer.readDoubleBE is not a function
buffer	external/node-tests/test/parallel/test-buffer-readfloat.js	fail	1	386	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-readfloat.js:13: TypeError: buffer.readFloatBE is not a function
buffer	external/node-tests/test/parallel/test-buffer-readint.js	fail	1	404	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-readuint.js	fail	1	391	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-resizable.js	pass	0	432	
buffer	external/node-tests/test/parallel/test-buffer-safe-unsafe.js	pass	0	392	
buffer	external/node-tests/test/parallel/test-buffer-set-inspect-max-bytes.js	fail	1	383	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-sharedarraybuffer.js	fail	1	381	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-sharedarraybuffer.js:6: ReferenceError: SharedArrayBuffer is not defined
buffer	external/node-tests/test/parallel/test-buffer-slice.js	fail	1	408	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-slice.js:75: TypeError: Buffer.compare is not a function
buffer	external/node-tests/test/parallel/test-buffer-slow.js	fail	1	408	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-swap-fast.js	fail	1	388	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-swap-fast.js:1: SyntaxError: expected expression, got '%'
buffer	external/node-tests/test/parallel/test-buffer-swap.js	fail	1	395	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-swap.js:11: TypeError: buf.swap16 is not a function
buffer	external/node-tests/test/parallel/test-buffer-tojson.js	fail	1	387	:0: AssertionError: {} !== {"type":"Buffer","data":[]}
buffer	external/node-tests/test/parallel/test-buffer-tostring-4gb.js	fail	1	382	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-tostring-4gb.js:9: TypeError: common.skipIf32Bits is not a function
buffer	external/node-tests/test/parallel/test-buffer-tostring-range.js	fail	1	385	:0: AssertionError: abc !== 
buffer	external/node-tests/test/parallel/test-buffer-tostring-rangeerror.js	fail	1	386	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-tostring.js	fail	1	403	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-write-fast.js	fail	1	400	<ionpower-node internal>:2: Error: require: cannot find module 'internal/test/binding' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
buffer	external/node-tests/test/parallel/test-buffer-write.js	fail	1	403	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-write.js:35: TypeError: buf.write is not a function
buffer	external/node-tests/test/parallel/test-buffer-writedouble.js	fail	1	397	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-writedouble.js:10: TypeError: buffer.writeDoubleBE is not a function
buffer	external/node-tests/test/parallel/test-buffer-writefloat.js	fail	1	386	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-writefloat.js:10: TypeError: buffer.writeFloatBE is not a function
buffer	external/node-tests/test/parallel/test-buffer-writeint.js	fail	1	393	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-writeint.js:18: TypeError: buffer.writeInt8 is not a function
buffer	external/node-tests/test/parallel/test-buffer-writeuint.js	fail	1	397	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-zero-fill-cli.js	pass	0	445	
buffer	external/node-tests/test/parallel/test-buffer-zero-fill-reset.js	pass	0	399	
buffer	external/node-tests/test/parallel/test-buffer-zero-fill.js	pass	0	384	
path	external/node-tests/test/parallel/test-path-basename.js	fail	1	389	:0: AssertionError:  !== bbb
path	external/node-tests/test/parallel/test-path-dirname.js	fail	1	397	:0: AssertionError: / !== //
path	external/node-tests/test/parallel/test-path-extname.js	fail	1	403	:0: AssertionError:  | path.win32.extname("\\path.to\\file") |   expect=""
path	external/node-tests/test/parallel/test-path-glob.js	fail	1	396	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-path-glob.js:37: TypeError: path[platform].matchesGlob is not a function
path	external/node-tests/test/parallel/test-path-isabsolute.js	fail	1	387	:0: AssertionError: false !== true
path	external/node-tests/test/parallel/test-path-join.js	fail	1	419	:0: AssertionError:  | path.posix.join(".","x/b","..","/b/c.js") |   expect="x/b/c.js"
path	external/node-tests/test/parallel/test-path-makelong.js	fail	1	403	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-path-makelong.js:76: TypeError: path.win32.toNamespacedPath is not a function
path	external/node-tests/test/parallel/test-path-normalize.js	fail	1	391	:0: AssertionError: fixtures/b/c.js !== fixtures\b\c.js
path	external/node-tests/test/parallel/test-path-parse-format.js	fail	1	397	:0: AssertionError: ./C:\path\dir\index.html !== C:\path\dir\index.html
path	external/node-tests/test/parallel/test-path-posix-exists.js	pass	0	383	
path	external/node-tests/test/parallel/test-path-posix-relative-on-windows.js	pass	0	391	
path	external/node-tests/test/parallel/test-path-relative.js	fail	1	516	:0: AssertionError:  | path.win32.relative("c:/blah\\blah","d:/games") |   expect="d:\\games"
path	external/node-tests/test/parallel/test-path-resolve.js	fail	1	459	:0: AssertionError: path.win32.resolve("c:/blah\\blah","d:/games","c:../a") |   expect="c:\\blah\\a" |   actual="/Users/macuser/tmp/ionpower-node/c:/blah\\blah/d:/games/c:../a"
path	external/node-tests/test/parallel/test-path-win32-exists.js	fail	1	386	:0: AssertionError: [object Object] !== [object Object]
path	external/node-tests/test/parallel/test-path-win32-normalize-device-names.js	skip	0	366	
path	external/node-tests/test/parallel/test-path-zero-length-strings.js	fail	1	396	:0: AssertionError: /Users/macuser/tmp/ionpower-node/ !== /Users/macuser/tmp/ionpower-node
querystring	external/node-tests/test/parallel/test-querystring-escape.js	fail	1	555	<ionpower-node bootstrap>:6147: URIError: malformed URI sequence
querystring	external/node-tests/test/parallel/test-querystring-maxKeys-non-finite.js	pass	0	777	
querystring	external/node-tests/test/parallel/test-querystring-multichar-separator.js	fail	1	391	:0: AssertionError: assert failed
url	external/node-tests/test/parallel/test-url-domain-ascii-unicode.js	fail	1	385	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-domain-ascii-unicode.js:20: TypeError: test is not a function
url	external/node-tests/test/parallel/test-url-fileurltopath.js	fail	1	399	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-fileurltopath.js:8: TypeError: test is not a function
url	external/node-tests/test/parallel/test-url-format-invalid-input.js	fail	1	389	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-format-invalid-input.js:9: TypeError: test is not a function
url	external/node-tests/test/parallel/test-url-format-whatwg.js	fail	1	396	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-format-whatwg.js:11: TypeError: test is not a function
url	external/node-tests/test/parallel/test-url-format.js	fail	1	391	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-format.js:9: TypeError: test is not a function
url	external/node-tests/test/parallel/test-url-invalid-file-url-path-input.js	fail	1	391	:0: AssertionError
url	external/node-tests/test/parallel/test-url-is-url-internal.js	fail	1	426	<ionpower-node internal>:2: Error: require: cannot find module 'internal/url' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
url	external/node-tests/test/parallel/test-url-parse-deprecation.js	fail	1	404	/Users/macuser/tmp/ionpower-node/external/node-tests/test/common/index.js:153: Error: spawnPromisified: not supported
url	external/node-tests/test/parallel/test-url-parse-format.js	fail	1	402	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-parse-format.js:1009: TypeError: test is not a function
url	external/node-tests/test/parallel/test-url-parse-invalid-input.js	fail	1	391	:0: AssertionError
url	external/node-tests/test/parallel/test-url-parse-query.js	fail	1	406	:0: AssertionError: [object Object] === [object Object]
url	external/node-tests/test/parallel/test-url-pathtofileurl.js	fail	1	19535	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-pathtofileurl.js:214: SyntaxError: identifier starts immediately after numeric literal | /Users/macuser/tmp/ionpower-node/test/vendor/babe
url	external/node-tests/test/parallel/test-url-relative.js	fail	1	394	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-relative.js:8: TypeError: url.resolveObject is not a function
url	external/node-tests/test/parallel/test-url-revokeobjecturl.js	pass	0	382	
url	external/node-tests/test/parallel/test-url-urltooptions.js	fail	1	13121	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-url-urltooptions.js:26: SyntaxError: invalid property id | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: mutating the [[Prototype]]
events	external/node-tests/test/parallel/test-events-customevent.js	fail	1	21096	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-events-customevent.js:125: SyntaxError: expected expression, got ')' | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: mutating the [
events	external/node-tests/test/parallel/test-events-getmaxlisteners.js	fail	1	396	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-events-getmaxlisteners.js:9: TypeError: getMaxListeners is not a function
events	external/node-tests/test/parallel/test-events-list.js	fail	1	404	:0: AssertionError: deepEqual failed
events	external/node-tests/test/parallel/test-events-listener-count-with-listener.js	fail	1	408	:0: AssertionError: 1 !== 0 | mustCall: expected 3 calls, got 0 | mustCall: expected 1 calls, got 0
events	external/node-tests/test/parallel/test-events-on-async-iterator.js	timeout	1	61253	30s timeout
events	external/node-tests/test/parallel/test-events-once.js	timeout	1	38689	30s timeout
events	external/node-tests/test/parallel/test-events-static-geteventlisteners.js	fail	1	393	<ionpower-node internal>:2: Error: require: cannot find module 'internal/event_target' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
events	external/node-tests/test/parallel/test-events-uncaught-exception-stack.js	fail	1	388	mustCall: expected 1 calls, got 0
stream	external/node-tests/test/parallel/test-stream-add-abort-signal.js	fail	1	396	<ionpower-node internal>:2: Error: require: cannot find module 'internal/streams/add-abort-signal' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
stream	external/node-tests/test/parallel/test-stream-auto-destroy.js	fail	1	458	mustCall: expected 1 calls, got 0 | mustCall: expected 1 calls, got 0 | mustCall: expected 1 calls, got 0
stream	external/node-tests/test/parallel/test-stream-await-drain-writers-in-synchronously-recursion-write.js	pass	0	411	
stream	external/node-tests/test/parallel/test-stream-backpressure.js	fail	1	411	mustCall: expected 11 calls, got 2 | mustCall: expected 410 calls, got 0
stream	external/node-tests/test/parallel/test-stream-base-prototype-accessors-enumerability.js	fail	1	401	<ionpower-node internal>:2: Error: require: cannot find module 'internal/test/binding' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
stream	external/node-tests/test/parallel/test-stream-base-typechecking.js	timeout	-1	40120	30s timeout
stream	external/node-tests/test/parallel/test-stream-big-packet.js	fail	1	13959	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-stream-big-packet.js:32: SyntaxError: expected expression, got '=' | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: mutating the [[P
stream	external/node-tests/test/parallel/test-stream-big-push.js	fail	1	402	:0: AssertionError: assert failed | mustCall: expected 3 calls, got 0 | mustCall: expected 1 calls, got 0
stream	external/node-tests/test/parallel/test-stream-catch-rejections.js	fail	1	22044	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-stream-catch-rejections.js:23: SyntaxError: async functions are not enabled in the parser | /Users/macuser/tmp/ionpower-node/test/vendor/babel
stream	external/node-tests/test/parallel/test-stream-compose.js	timeout	-1	40013	30s timeout
stream	external/node-tests/test/parallel/test-stream-construct.js	timeout	1	36159	30s timeout
stream	external/node-tests/test/parallel/test-stream-consumers.js	timeout	1	37279	30s timeout
stream	external/node-tests/test/parallel/test-stream-decoder-objectmode.js	fail	1	395	:0: AssertionError: a
stream	external/node-tests/test/parallel/test-stream-destroy-event-order.js	pass	0	392	
stream	external/node-tests/test/parallel/test-stream-destroy.js	fail	1	390	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-stream-destroy.js:14: TypeError: destroy is not a function
stream	external/node-tests/test/parallel/test-stream-drop-take.js	timeout	-1	40020	30s timeout
stream	external/node-tests/test/parallel/test-stream-duplex-destroy.js	fail	1	18278	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-stream-duplex-destroy.js:288: SyntaxError: async functions are not enabled in the parser | /Users/macuser/tmp/ionpower-node/test/vendor/babel.
stream	external/node-tests/test/parallel/test-stream-duplex-end.js	fail	1	778	:0: AssertionError: undefined !== true
stream	external/node-tests/test/parallel/test-stream-duplex-from.js	timeout	-1	40006	30s timeout
stream	external/node-tests/test/parallel/test-stream-duplex-props.js	fail	1	950	:0: AssertionError: undefined !== true
stream	external/node-tests/test/parallel/test-stream-duplex-readable-end.js	timeout	-1	40076	30s timeout
stream	external/node-tests/test/parallel/test-stream-duplex-readable-writable.js	timeout	-1	40017	30s timeout
stream	external/node-tests/test/parallel/test-stream-duplex-writable-finished.js	fail	1	1146	:0: AssertionError: assert failed
stream	external/node-tests/test/parallel/test-stream-duplex.js	fail	1	1000	:0: AssertionError: assert failed
stream	external/node-tests/test/parallel/test-stream-duplexpair.js	fail	1	1115	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-stream-duplexpair.js:8: TypeError: duplexPair is not a function
stream	external/node-tests/test/parallel/test-stream-end-of-streams.js	pass	0	1211	
stream	external/node-tests/test/parallel/test-stream-end-paused.js	fail	1	1231	mustCall: expected 1 calls, got 2 | mustCall: expected 1 calls, got 0
stream	external/node-tests/test/parallel/test-stream-err-multiple-callback-construction.js	fail	1	1522	mustCall: expected 1 calls, got 2 | mustCall: expected 1 calls, got 0
stream	external/node-tests/test/parallel/test-stream-error-once.js	fail	1	1307	mustCall: expected 1 calls, got 2 | mustCall: expected 1 calls, got 0
stream	external/node-tests/test/parallel/test-stream-event-names.js	fail	1	973	:0: AssertionError: deepEqual failed
stream	external/node-tests/test/parallel/test-stream-events-prepend.js	fail	1	935	mustCall: expected 1 calls, got 0
stream	external/node-tests/test/parallel/test-stream-filter.js	timeout	-1	40031	30s timeout
stream	external/node-tests/test/parallel/test-stream-finished-async-local-storage.js	fail	1	979	<ionpower-node internal>:2: Error: require: cannot find module 'internal/async_context_frame' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
stream	external/node-tests/test/parallel/test-stream-finished-bindAsyncResource-path.js	fail	1	1210	<ionpower-node internal>:2: Error: require: cannot find module 'internal/async_hooks' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
stream	external/node-tests/test/parallel/test-stream-finished-default-path.js	fail	1	23562	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-stream-finished-default-path.js:19: SyntaxError: expected expression, got ')' | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: mutat
stream	external/node-tests/test/parallel/test-stream-finished.js	timeout	-1	40020	30s timeout
stream	external/node-tests/test/parallel/test-stream-flatMap.js	timeout	-1	40018	30s timeout
stream	external/node-tests/test/parallel/test-stream-forEach.js	timeout	-1	40018	30s timeout
stream	external/node-tests/test/parallel/test-stream-inheritance.js	fail	1	1902	:0: AssertionError: assert failed
stream	external/node-tests/test/parallel/test-stream-ispaused.js	pass	0	1973	
stream	external/node-tests/test/parallel/test-stream-iter-broadcast-backpressure.js	timeout	-1	40029	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-broadcast-basic.js	timeout	-1	40018	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-broadcast-coverage.js	timeout	-1	40010	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-broadcast-from.js	timeout	-1	40017	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-consumers-bytes.js	timeout	-1	40029	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-consumers-merge.js	timeout	-1	40018	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-consumers-tap.js	timeout	-1	40018	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-consumers-text.js	timeout	-1	40197	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-cross-realm.js	timeout	-1	40027	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-disabled.js	timeout	-1	40016	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-duplex.js	timeout	-1	40119	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-from-async.js	timeout	-1	40535	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-from-coverage.js	timeout	-1	40006	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-from-sync.js	timeout	-1	40110	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-namespace.js	timeout	-1	40208	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-pipeto-edge.js	timeout	-1	40007	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-pipeto-signal.js	timeout	-1	40077	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-pipeto-writev.js	timeout	-1	40270	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-pipeto.js	timeout	-1	40784	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-pull-async.js	timeout	-1	40361	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-pull-sync.js	timeout	-1	40139	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-push-backpressure.js	timeout	-1	41721	30s timeout
stream	external/node-tests/test/parallel/test-stream-iter-push-basic.js	timeout	-1	40006	30s timeout
